"","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025","age"
"ACE259","0","0","0","N","E","E","N","0","0","0","0","0","0","0","0","0",1
"ACE434","0","0","0","N","E","E","E","E","E","N","0","0","0","0","0","0",1
"ACE721","0","0","0","N","E","E","E","E","E","N","0","0","0","0","0","0",1
"ACE888","0","0","0","N","E","E","E","N","N","0","0","0","0","0","0","0",1
"ACE973","0","0","0","N","E","E","N","0","0","0","0","0","0","0","0","0",1
"ACE976","0","0","0","N","E","E","E","E","E","E","E","E","E","E","E","N",1
"ACF040","0","0","0","N","E","E","E","N","N","B1","L_B","LB","LB","LB","LB","LB",1
"ACF074","0","0","0","N","E","N","0","0","0","0","0","0","0","0","0","0",1
"ACF121","0","0","0","N","E","E","E","N","0","0","0","0","0","0","0","0",1
"ACF124","0","0","0","N","E","E","N","0","0","0","0","0","0","0","0","0",1
"ACF131","0","0","0","N","E","E","E","N","0","0","0","0","0","0","0","0",1
"ACF134","0","0","0","N","E","E","E","B1","L_B","LB","L_B","L_B_","N","0","0","0",1
"ACF154","0","0","0","N","E","E","E","E","E","E","N","0","0","0","0","0",1
"ACF157","0","0","0","N","E","E","E","N","0","0","0","0","0","0","0","0",1
"ACF452","0","0","0","0","N","E","E","E","E","N","0","0","0","0","0","0",1
"ACF462","0","0","0","0","N","E","E","N","0","0","0","0","0","0","0","0",1
"ACF552","0","0","0","N","E","E","E","E","E","E","B1","0","0","0","0","0",1
"ACF554","0","0","0","N","E","E","E","N","B1","LB","S","LB","L_B","LB","LB","LB",1
"ACF827","0","0","0","N","E","E","E","E","E","E","E","N","0","0","0","0",1
"ACF868","0","0","0","N","E","E","E","E","E","E","E","E","E","N","0","0",1
"ACF898","0","0","0","N","E","E","N","B1","LB","LB","L_B","LB","LB","LB","LB","LB",1
"ACF904","0","0","0","N","E","E","E","E","E","E","N","0","0","0","0","0",1
"ACF924","0","0","0","N","E","E","N","B1","LB","LB","LB","LB_","LB","L_B_","LB","LB",1
"ACF925","0","0","0","N","E","E","E","E","E","E","E","N","N","E","E","N",1
"ACF940","0","0","0","N","E","E","E","N","0","0","0","0","0","0","0","0",1
"ACF946","0","0","0","N","E","E","E","B1","0","0","0","0","0","0","0","0",1
"ACF951","0","0","0","N","E","N","0","0","0","0","0","0","0","0","0","0",1
"ACF954","0","0","0","N","E","N","N","0","0","0","0","0","0","0","0","0",1
"ACF973","0","0","0","N","E","E","N","B1","L_B","LB","LB_","0","0","0","0","0",1
"ACF976","0","0","0","N","E","N","N","B1","LB_","LB","LB","LB","LB","LB","L_B_","LB",1
"ACF982","0","0","0","N","E","N","0","0","0","0","0","0","0","0","0","0",1
"ACG009","0","0","0","0","N","E","E","E","N","0","0","0","0","0","0","0",1
"ACG041","0","0","0","0","N","E","E","N","N","0","0","0","0","0","0","0",1
"ACG051","0","0","0","0","N","E","E","E","E","E","E","E","E","E","E","N",1
"ACG077","0","0","0","0","N","E","E","N","0","0","0","0","0","0","0","0",1
"ACG099","0","0","0","0","N","E","E","N","B1","LB_","L_B","LB","LB","LB","LB","LB",1
"ACG121","0","0","0","0","N","E","E","N","N","0","0","0","0","0","0","0",1
"ACG128","0","0","0","0","N","E","E","N","N","N","N","B1","L_B_","L_B","0","0",1
"ACG717","0","0","0","0","N","E","E","N","0","0","0","0","0","0","0","0",1
"ACG755","0","0","0","0","N","E","E","E","N","0","0","0","0","0","0","0",1
"ACG793","0","0","0","0","N","E","E","N","0","0","0","0","0","0","0","0",1
"ACG795","0","0","0","0","N","E","N","0","0","0","0","0","0","0","0","0",1
"ACG853","0","0","0","0","N","E","N","0","0","0","0","0","0","0","0","0",1
"ACH054","0","0","0","0","N","E","E","N","B1","LB","LB","L_B_","LB","LB","LB","LB",1
"ACH077","0","0","0","0","N","E","E","E","B1","LB","LB","LB","L_B_","0","0","0",1
"ACH084","0","0","0","0","N","E","E","N","0","0","0","0","0","0","0","0",1
"ACH088","0","0","0","0","N","E","E","N","N","N","B1","S","LB","LB","LB","LB",1
"ACH174","0","0","0","0","N","E","N","N","N","B1","LB_","S","L_B","LB","0","0",1
"ACH220","0","0","0","0","N","E","E","N","0","0","0","0","0","0","0","0",1
"ACH253","0","0","0","0","N","E","E","N","B1","LB","L_B","LB","LB","LB","LB","LB",1
"ACH300","0","0","0","0","N","E","E","N","N","N","0","0","0","0","0","0",1
"ACH308","0","0","0","0","N","E","E","N","0","0","0","0","0","0","0","0",1
"ACH324","0","0","0","0","N","E","E","N","0","0","0","0","0","0","0","0",1
"ACH432","0","0","0","0","N","E","E","N","N","B1","LB_","LB_","0","0","0","0",1
"ACH444","0","0","0","0","N","E","E","N","0","0","0","0","0","0","0","0",1
"ACH452","0","0","0","0","N","E","E","N","E","E","N","N","0","0","0","0",1
"ACH511","0","0","0","0","N","E","E","E","N","0","0","0","0","0","0","0",1
"ACH678","0","0","0","0","N","E","E","E","E","E","E","N","0","0","0","0",1
"ACH686","0","0","0","0","N","E","E","N","0","0","0","0","0","0","0","0",1
"ACH895","0","0","0","0","N","E","E","N","0","0","0","0","0","0","0","0",1
"ACJ054","0","0","0","0","N","E","E","E","E","E","E","B1","0","0","0","0",1
"ACJ194","0","0","0","0","N","E","E","N","B1","S","L_B_","L_B","L_B","L_B","LB","LB",1
"ACJ197","0","0","0","0","N","E","E","E","E","E","N","0","0","0","0","0",1
"ACJ219","0","0","0","0","N","E","E","N","0","0","0","0","0","0","0","0",1
"ACJ418","0","0","0","0","N","E","E","N","0","0","0","0","0","0","0","0",1
"ACJ528","0","0","0","0","N","E","E","N","0","0","0","0","0","0","0","0",1
"ACJ565","0","0","0","0","N","E","E","N","0","0","0","0","0","0","0","0",1
"ACJ681","0","0","0","0","N","E","E","N","0","0","0","0","0","0","0","0",1
"ACJ683","0","0","0","0","N","E","E","E","N","0","0","0","0","0","0","0",1
"ACJ766","0","0","0","0","N","E","E","N","0","0","0","0","0","0","0","0",1
"ACJ788","0","0","0","0","N","E","E","N","0","0","0","0","0","0","0","0",1
"ACJ968","0","0","0","0","0","0","N","E","N","N","0","0","0","0","0","0",1
"ACJ969","0","0","0","0","0","0","N","E","E","N","N","B1","L_B_","LB","LB","LB",1
"ACJ971","0","0","0","0","0","0","N","E","E","N","N","0","0","0","0","0",1
"ACK528","0","0","0","0","0","N","E","E","N","0","0","0","0","0","0","0",1
"ACK697","0","0","0","0","0","N","E","N","0","0","0","0","0","0","0","0",1
"ACK815","0","0","0","0","0","N","E","E","N","0","0","0","0","0","0","0",1
